FeatureID;well;X;Y;Ele_L1;Ele_L2;Ele_L3;Ele_L4;Ele_L5;Ele_L6;Ele_L7;Ele_L8
0;;292182.1341;9105647.632;7.9017;6.9017;-26.369;-32.984001;-34.143002;-35.143002;-184.770004;-185.770004
1;;292278.2603;9105620.068;8.2603;7.2603;-26.641001;-33.393002;-34.533001;-35.533001;-184.330002;-185.330002
2;;292374.3864;9105592.505;7.8561;6.7481;-27.374001;-34.873001;-36.117001;-37.117001;-184.669998;-185.669998
3;;292470.5126;9105564.941;7.4142;6.4253;-28.67;-36.005001;-37.223999;-38.223999;-184.589996;-185.589996
4;;292566.6388;9105537.377;7.1246;6.8561;-28.969;-35.474998;-36.592999;-37.592999;-184.539993;-185.539993
5;;292662.7649;9105509.814;5.2422;6.1724;-29.952;-37.248001;-38.456001;-39.456001;-184.559998;-185.559998
6;;292758.8911;9105482.25;2.8419;6.4142;-32.845001;-38.834;-39.917999;-40.917999;-185.130005;-186.130005
7;;292855.0173;9105454.686;1.1528;6.2244;-33.472;-40.287998;-41.470001;-42.470001;-185.110001;-186.110001
8;;292951.1434;9105427.122;0.27957;6.1246;-37.066002;-42.534;-43.595001;-44.595001;-186.080002;-187.080002
9;;293047.2696;9105399.559;0;6.0469;-40.021;-45.782001;-46.908001;-47.908001;-186.240005;-187.240005
10;;293143.3958;9105371.995;0;4.1981;-45.278;-49.686001;-50.705002;-51.705002;-188.660004;-189.660004
11;;292154.5703;9105551.506;7.7481;4.4687;-45.488998;-50.435001;-51.521999;-52.521999;-187.339996;-188.339996
12;;292250.6965;9105523.942;7.4253;1.7385;-50.013;-53.882999;-54.886002;-55.886002;-192.479996;-193.740005
13;;292346.8227;9105496.379;7.1724;1.5397;-51.995998;-55.950001;-56.990002;-57.990002;-191.169998;-192.380005
14;;292442.9489;9105468.815;7.2244;-0.096906;-51.131;-54.908001;-55.908001;-56.908001;-196.25;-202.240005
15;;292539.075;9105441.251;7.0469;-0.75205;-54.936001;-58.354;-59.365002;-60.365002;-196.229996;-201.350006
16;;292635.2012;9105413.687;5.947;-0.90987;-52.058998;-55.744999;-56.744999;-57.744999;-198.369995;-205.130005
17;;292731.3274;9105386.124;3.3033;-1;-55.969002;-59.207001;-60.207001;-61.207001;-198.419998;-205.410004
18;;292827.4535;9105358.56;0.54134;-1;-51.401001;-55.161999;-56.161999;-57.161999;-199.839996;-216.729996
19;;292923.5797;9105330.996;0;-1.0004;-55.416;-58.717999;-59.717999;-60.717999;-199.960007;-216.190002
20;;293019.7059;9105303.432;0;-1;-52.051998;-55.738998;-56.738998;-57.738998;-200;-219.039993
21;;293115.832;9105275.869;0;-1;-55.962002;-59.201;-60.201;-61.201;-200;-219.330002
22;;292127.0066;9105455.38;7.6969;6.6969;-28.865;-37.327;-38.659;-39.659;-184.589996;-185.589996
23;;292223.1328;9105427.816;7.7893;6.7893;-28.964001;-37.296001;-38.619;-39.619;-184.5;-185.5
24;;292319.259;9105400.252;7.5741;6.5741;-32.537998;-40.296001;-41.581001;-42.581001;-184.990005;-185.990005
25;;292415.3851;9105372.689;7.2335;6.2335;-35.234001;-42.688999;-43.959;-44.959;-185.360001;-186.360001
26;;292511.5113;9105345.125;6.4209;5.4209;-40.806;-47.376999;-48.604;-49.604;-186.389999;-187.389999
27;;292607.6375;9105317.561;4.9259;3.2042;-46.354999;-51.937;-53.122002;-54.122002;-187.660004;-188.660004
28;;292703.7636;9105289.997;3.5539;1.9272;-50.077999;-54.903999;-56.051998;-57.051998;-190;-191
29;;292799.8898;9105262.434;1.858;0.70659;-55.040001;-58.824001;-59.903;-60.903;-193.690002;-195.179993
30;;292896.016;9105234.87;0.03478;-0.99366;-58.494;-61.505001;-62.516998;-63.516998;-198.279999;-208.869995
31;;292992.1421;9105207.306;0;-1.0003;-59.541;-62.369999;-63.369999;-64.370003;-199.990005;-216.320007
32;;293088.2683;9105179.743;0;-1;-59.872002;-62.662998;-63.662998;-64.663002;-200;-221.070007
33;;292099.4429;9105359.254;7.9998;6.9998;-30.888001;-39.868;-41.306;-42.306;-184.960007;-185.960007
34;;292195.569;9105331.69;7.7063;6.7063;-29.947001;-39.167999;-40.592999;-41.592999;-184.520004;-185.520004
35;;292291.6952;9105304.126;7.4774;6.4774;-31.848;-40.764;-42.166;-43.166;-184.789993;-185.789993
36;;292387.8214;9105276.562;7.1822;6.1822;-35.448002;-43.676998;-45.066002;-46.066002;-185.880005;-186.880005
37;;292483.9476;9105248.999;6.2306;4.8265;-40.381;-47.563;-48.915001;-49.915001;-187.669998;-188.669998
38;;292580.0737;9105221.435;5.0955;3.4427;-44.722;-51.001999;-52.313999;-53.313999;-188.630005;-189.630005
39;;292676.1999;9105193.871;3.5548;1.8732;-51.587002;-56.450001;-57.657001;-58.657001;-191.100006;-192.100006
40;;292772.3261;9105166.308;1.9654;0.75057;-58.381;-61.828999;-62.922001;-63.922001;-194.839996;-197.009995
41;;292868.4522;9105138.744;0.082805;-0.99109;-62.707001;-65.254997;-66.271004;-67.271004;-197.490005;-203.220001
42;;292964.5784;9105111.18;0;-1.0038;-62.983002;-65.417;-66.417;-67.417;-199.809998;-217.639999
43;;293060.7046;9105083.616;0;-1.1545;-62.212002;-64.735001;-65.735001;-66.735001;-200;-233.539993
44;;292071.8791;9105263.128;8.0663;7.0663;-32.733002;-41.362999;-42.926998;-43.926998;-185.779999;-186.779999
45;;292168.0053;9105235.564;8.5782;7.5782;-29.672001;-39.161999;-40.724998;-41.724998;-185.039993;-186.039993
46;;292264.1315;9105208;8.9304;7.9304;-28.733999;-38.580002;-40.166;-41.166;-185.470001;-186.470001
47;;292360.2577;9105180.436;9.3128;7.7932;-31.268;-40.688;-42.264999;-43.264999;-186.630005;-187.630005
48;;292456.3838;9105152.873;8.5282;6.2884;-37.076;-45.283001;-46.792999;-47.792999;-188.080002;-189.080002
49;;292552.51;9105125.309;5.6773;3.4365;-47.988998;-53.914001;-55.25;-56.25;-190.740005;-191.809998
50;;292648.6362;9105097.745;2.4658;0.80409;-57.558998;-61.533001;-62.708;-63.708;-192.929993;-194.080002
51;;292744.7623;9105070.181;0.53654;-0.46346;-63.048;-65.907997;-66.990997;-67.990997;-195.25;-197.690002
52;;292840.8885;9105042.618;0;-1;-67.377998;-69.329002;-70.333;-71.333;-198.419998;-204.929993
53;;292937.0147;9105015.054;0;-1.0041;-66.765999;-68.766998;-69.766998;-70.766998;-199.919998;-217.339996
54;;293033.1408;9104987.49;0;-1.0052;-67.328003;-69.264;-70.264;-71.264;-200;-220.809998
55;;292044.3154;9105167.001;7.2788;6.2788;-33.237;-41.108002;-42.820999;-43.820999;-186.75;-187.75
56;;292140.4416;9105139.438;7.7465;6.7465;-31.551001;-40.152;-41.831001;-42.831001;-186.110001;-187.110001
57;;292236.5677;9105111.874;9.082;8.082;-30.101;-39.397999;-41.080002;-42.080002;-186.240005;-187.240005
58;;292344.121;9105063.695;9.3192;8.3192;-33.386002;-42.452999;-44.095001;-45.095001;-187.369995;-188.369995
59;;292428.8201;9105056.746;6.274;5.274;-43.756;-50.898998;-52.381;-53.381;-189.309998;-190.309998
60;;292524.9463;9105029.183;3.8306;2.8306;-53.417999;-58.581001;-59.898998;-60.898998;-191.490005;-192.619995
61;;292621.0724;9105001.619;1.5524;0.55242;-63.145001;-66.318001;-67.462997;-68.462997;-194.259995;-196.080002
62;;292717.1986;9104974.055;0.21025;-0.78975;-68.811997;-70.775002;-71.811997;-72.811997;-197.309998;-204.389999
63;;292813.3248;9104946.491;0;-1;-71.595001;-73.043999;-74.043999;-75.043999;-198.949997;-206.830002
64;;292909.4509;9104918.928;0;-1.0062;-70.842003;-72.375;-73.375;-74.375;-199.949997;-224.300003
65;;293005.5771;9104891.364;0;-1;-71.614998;-73.059998;-74.059998;-75.059998;-200;-229.130005
66;;292016.7517;9105070.875;7.7801;6.7801;-33.210999;-40.425999;-42.286999;-43.286999;-187.789993;-188.789993
67;;292112.8778;9105043.311;8.4194;7.4194;-34.597;-42.019001;-43.797001;-44.797001;-187.679993;-188.679993
68;;292209.004;9105015.748;9.1075;8.1075;-37.615002;-44.960999;-46.658001;-47.658001;-188.059998;-189.059998
69;;292305.1302;9104988.184;9.6015;8.6015;-41.615002;-48.637001;-50.264999;-51.264999;-188.729996;-189.729996
70;injection well;292401.2564;9104960.62;8.0474;7.0474;-53.577;-58.745998;-60.161999;-61.161999;-190.229996;-191.229996
71;;292497.3825;9104933.057;4.6408;3.6408;-66.559998;-69.306999;-70.488998;-71.488998;-192.619995;-193.619995
72;;292593.5087;9104905.493;2.7059;1.7059;-72.799004;-74.293999;-75.356003;-76.356003;-195.539993;-198.539993
73;;292689.6349;9104877.929;0.31816;-0.68184;-74.621002;-75.723;-76.728996;-77.728996;-198.449997;-211.660004
74;;292785.761;9104850.365;0;-1;-75.013001;-76.070999;-77.070999;-78.070999;-199.729996;-218.759995
75;;292881.8872;9104822.802;0;-1.0057;-74.525002;-75.639;-76.639;-77.639;-200;-236.490005
76;;292978.0134;9104795.238;0;-1;-75.041;-76.097;-77.097;-78.097;-200;-244.169998
77;;291989.1879;9104974.749;8.1612;7.1612;-35.988998;-42.261002;-44.199001;-45.199001;-189.210007;-190.210007
78;;292085.3141;9104947.185;8.4288;7.4288;-35.330002;-41.896999;-43.821999;-44.821999;-189.399994;-190.399994
79;;292181.4403;9104919.622;10.027;9.0274;-43.445;-49.145001;-50.893002;-51.893002;-190.089996;-191.089996
80;;292277.5664;9104892.058;10.823;9.8233;-52.215;-56.717999;-58.306;-59.306;-190.789993;-191.789993
81;;292373.6926;9104864.494;10.788;9.788;-64.476997;-67.117996;-68.473999;-69.473999;-191.800003;-192.800003
82;;292469.8188;9104836.93;9.0931;8.0931;-71.263001;-72.845001;-74.054001;-75.054001;-193.009995;-194.009995
83;;292565.945;9104809.367;3.9032;2.9032;-75.593002;-76.596001;-77.650002;-78.650002;-196.669998;-200.229996
84;;292662.0711;9104781.803;0.091959;-0.90804;-75.655998;-76.655998;-77.661003;-78.661003;-199.210007;-215.630005
85;;292758.1973;9104754.239;0;-1;-75.678001;-76.678001;-77.678001;-78.678001;-199.899994;-223.070007
86;;292854.3235;9104726.675;0;-1.0055;-75.653;-76.653;-77.653;-78.653;-200;-242.589996
87;;292950.4496;9104699.112;0;-1;-75.677002;-76.677002;-77.677002;-78.677002;-200;-248.889999
88;;291961.6242;9104878.623;7.7598;6.7598;-35.487999;-41.012001;-43.136002;-44.136002;-190.850006;-191.850006
89;;292057.7504;9104851.059;8.7651;7.7651;-38.455002;-43.867001;-45.891998;-46.891998;-191.380005;-192.380005
90;;292153.8765;9104823.495;9.7574;8.7574;-48.313;-52.561001;-54.368;-55.368;-192.479996;-193.479996
91;;292250.0027;9104795.932;9.8111;8.8111;-57.254002;-60.359001;-61.986;-62.986;-194.850006;-195.919998
92;;292346.1289;9104768.368;7.9783;6.9783;-64.836998;-66.972;-68.415001;-69.415001;-196.990005;-198.770004
93;apac sensor;292442.255;9104740.804;5.9377;4.9377;-72.458;-73.689003;-74.916;-75.916;-198.789993;-202.139999
94;;292538.3812;9104713.24;3.1422;2.1422;-75.264999;-76.277;-77.361999;-78.361999;-199.729996;-205.779999
95;;292634.5074;9104685.677;0.22346;-0.77654;-75.824997;-76.824997;-77.835999;-78.835999;-199.990005;-218.460007
96;;292730.6336;9104658.113;0;-1;-75.848;-76.848;-77.848;-78.848;-200;-234.639999
97;;292826.7597;9104630.549;0;-1.004;-75.825996;-76.825996;-77.825996;-78.825996;-200;-256
98;;292922.8859;9104602.985;0;-1;-75.848;-76.848;-77.848;-78.848;-200;-266.690002
99;;291934.0605;9104782.497;8.1305;7.1305;-34.599998;-39.57;-41.869999;-42.869999;-192.610001;-193.610001
100;;292030.1866;9104754.933;8.6937;7.6937;-40.119;-44.577999;-46.728001;-47.728001;-194.550003;-195.850006
101;;292126.3128;9104727.369;9.1161;8.1161;-47.632;-51.306999;-53.272999;-54.272999;-197.119995;-200.419998
102;;292222.439;9104699.805;7.5589;6.5589;-58.587002;-61.056999;-62.736;-63.736;-199.350006;-207.119995
103;;292318.5651;9104672.242;6.7334;5.7334;-66.917999;-68.391998;-69.870003;-70.870003;-200;-214.050003
104;;292414.6913;9104644.678;4.3377;3.3377;-72.092003;-73.179001;-74.444;-75.444;-200;-217.809998
105;;292510.8175;9104617.114;1.6388;0.63882;-74.954002;-75.976997;-77.069;-78.069;-200;-222.619995
106;;292606.9437;9104589.551;0.30748;-0.69252;-75.828003;-76.832001;-77.859001;-78.859001;-200;-231.190002
107;;292703.0698;9104561.987;0.17728;-0.82272;-76.009003;-77.009003;-78.014999;-79.014999;-200;-242.160004
108;;292799.196;9104534.423;0;-1.0025;-75.986;-76.986;-77.986;-78.986;-200;-271.48999
109;;292895.3222;9104506.859;0;-1.001;-76.018997;-77.018997;-78.018997;-79.018997;-200;-288.690002
110;;291906.4967;9104686.371;7.8421;6.8421;-35.467999;-40.270001;-42.706001;-43.706001;-193.990005;-194.990005
111;;292002.6229;9104658.807;8.6629;7.6629;-36.994;-41.291;-43.669998;-44.669998;-197.130005;-200.399994
112;;292098.7491;9104631.243;9.3695;8.3695;-48.397999;-51.335999;-53.417999;-54.417999;-199.839996;-212.919998
113;;292194.8752;9104603.679;9.7769;8.7769;-56.183998;-58.296001;-60.172001;-61.172001;-200;-220.990005
114;;292291.0014;9104576.116;6.9656;5.9656;-65.897003;-67.209;-68.749;-69.749;-200;-228.25
115;;292387.1276;9104548.552;3.8272;2.8272;-71.167;-72.278999;-73.560997;-74.560997;-200;-235.350006
116;;292483.2537;9104520.988;1.6054;0.60536;-73.485001;-74.544998;-75.700996;-76.700996;-200;-240.940002
117;;292579.3799;9104493.424;0.18319;-0.81681;-75.642998;-76.654999;-77.689003;-78.689003;-200;-251.059998
118;;292675.5061;9104465.861;0.066667;-0.93333;-76.123001;-77.124;-78.130997;-79.130997;-200;-263.109985
119;;292771.6323;9104438.297;0;-1.0018;-76.146004;-77.146004;-78.146004;-79.146004;-200;-288.75
120;;292867.7584;9104410.733;0;-1.1009;-76.141998;-77.141998;-78.141998;-79.141998;-200;-315.850006
121;;291878.933;9104590.244;7.526;6.526;-34.591999;-39.971001;-42.539001;-43.539001;-197.429993;-200.029999
122;;291975.0592;9104562.681;7.8715;6.8715;-35.007;-39.326;-41.887001;-42.887001;-199.110001;-207.389999
123;;292071.1853;9104535.117;8.4484;7.4484;-43.648998;-46.453999;-48.807999;-49.807999;-199.960007;-221.429993
124;;292167.3115;9104507.553;7.0902;6.0902;-54.756;-56.576;-58.569;-59.569;-200;-234.5
125;;292263.4377;9104479.989;5.4358;4.4358;-62.694;-64.001;-65.686997;-66.686997;-200;-241.910004
126;;292359.5638;9104452.426;3.0676;2.0676;-68.473;-69.651001;-71.042;-72.042;-200;-249.979996
127;;292455.69;9104424.862;1.0896;0.089594;-72.68;-73.763001;-74.941002;-75.941002;-200;-261.100006
128;;292551.8162;9104397.298;0.20814;-0.79186;-74.987999;-76.018997;-77.084;-78.084;-200;-271.540009
129;;292647.9424;9104369.734;0.051057;-0.94894;-75.998001;-77.005997;-78.023003;-79.023003;-200;-284.670013
130;;292744.0685;9104342.171;0;-1.0022;-76.324997;-77.324997;-78.324997;-79.324997;-200;-309.429993
131;;292840.1947;9104314.607;0;-1.0006;-76.348;-77.348;-78.348;-79.348;-200;-320.380005
132;;291851.3693;9104494.118;7.4781;6.4781;-33.903;-39.069;-41.775002;-42.775002;-199.800003;-211.850006
133;;291947.4954;9104466.554;7.6637;6.6637;-35.681;-39.763;-42.439999;-43.439999;-199.979996;-221.320007
134;;292043.6216;9104438.991;8.2752;7.2752;-39.775002;-42.645001;-45.231998;-46.231998;-200;-230.600006
135;;292139.7478;9104411.427;8.5339;7.5339;-47.744;-49.644001;-51.966;-52.966;-200;-240.940002
136;;292235.8739;9104383.863;6.5507;5.5507;-57.268002;-58.731998;-60.640999;-61.640999;-200;-252.520004
137;;292332.0001;9104356.299;2.9999;1.9999;-67.152;-68.363998;-69.802002;-70.802002;-200;-267.309998
138;;292428.1263;9104328.736;1.5271;0.52709;-72.066002;-73.167;-74.374;-75.374;-200;-280.929993
139;;292524.2524;9104301.172;0.14945;-0.85055;-75.688003;-76.706001;-77.744003;-78.744003;-200;-300.570007
140;;292620.3786;9104273.608;0;-1;-76.529999;-77.529999;-78.529999;-79.529999;-200;-309.630005
141;;292716.5048;9104246.045;0;-1.0035;-76.495003;-77.495003;-78.495003;-79.495003;-200;-333.779999
142;;292812.631;9104218.481;0;-1;-76.527;-77.527;-78.527;-79.527;-200;-342.399994
143;;291823.8055;9104397.992;8.132;7.132;-34.241001;-39.394001;-42.183998;-43.183998;-200;-228.690002
144;;291919.9317;9104370.428;8.0385;7.0385;-34.611;-38.988998;-41.807999;-42.807999;-200;-234.740005
145;;292016.0579;9104342.865;8.2492;7.2492;-39.402;-42.002998;-44.689999;-45.689999;-200;-245.820007
146;;292112.184;9104315.301;7.8168;6.8168;-44.807999;-46.643002;-49.119999;-50.119999;-200;-254.460007
147;;292208.3102;9104287.737;6.7913;5.7913;-52.935001;-54.473999;-56.581001;-57.581001;-200;-264.970001
148;;292304.4364;9104260.173;4.0661;3.0661;-63.918999;-65.208;-66.803001;-67.803001;-200;-282.48999
149;;292400.5625;9104232.61;0.62725;-0.37275;-73.223999;-74.303001;-75.463997;-76.463997;-200;-304.48999
150;;292496.6887;9104205.046;0.022785;-0.97722;-75.916;-76.932999;-77.968002;-78.968002;-200;-323.130005
151;;292592.8149;9104177.482;0;-1;-76.702004;-77.702004;-78.702004;-79.702004;-200;-332.799988
152;;292688.941;9104149.918;0;-1.0019;-76.68;-77.68;-78.68;-79.68;-200;-352.769989
153;;292785.0672;9104122.355;0;-1;-76.702004;-77.702004;-78.702004;-79.702004;-200;-362.609985
