FeatureID,PartID,X,Y,Z,SLB_WHI_ID,,,,,,FeatureID,PartID,X,Y
0,1,292147.8529,9105709.477,0,7eec68cd-eca2-46c0-b834-90e852a62cd3,,,,0,,0,1,292147.8529,9105709.477
0,1,292243.979,9105681.913,0,7eec68cd-eca2-46c0-b834-90e852a62cd3,,,,0,,0,1,292243.979,9105681.913
0,1,292216.4153,9105585.787,0,7eec68cd-eca2-46c0-b834-90e852a62cd3,,,,0,,0,1,292216.4153,9105585.787
0,1,292120.2891,9105613.351,0,7eec68cd-eca2-46c0-b834-90e852a62cd3,,,,0,,0,1,292120.2891,9105613.351
0,1,292147.8529,9105709.477,0,7eec68cd-eca2-46c0-b834-90e852a62cd3,,,,1,,1,1,292243.979,9105681.913
1,1,292243.979,9105681.913,0,18c336ab-8e17-455a-b4ed-1e979527300d,,,,0,,1,1,292340.1052,9105654.35
1,1,292340.1052,9105654.35,0,18c336ab-8e17-455a-b4ed-1e979527300d,,,,0,,1,1,292312.5415,9105558.224
1,1,292312.5415,9105558.224,0,18c336ab-8e17-455a-b4ed-1e979527300d,,,,0,,1,1,292216.4153,9105585.787
1,1,292216.4153,9105585.787,0,18c336ab-8e17-455a-b4ed-1e979527300d,,,,0,,2,1,292120.2891,9105613.351
1,1,292243.979,9105681.913,0,18c336ab-8e17-455a-b4ed-1e979527300d,,,,1,,2,1,292216.4153,9105585.787
2,1,292120.2891,9105613.351,0,b213c32d-9c55-4a1b-9431-d54c8ff0a3ab,,,,0,,2,1,292188.8516,9105489.661
2,1,292216.4153,9105585.787,0,b213c32d-9c55-4a1b-9431-d54c8ff0a3ab,,,,0,,2,1,292092.7254,9105517.225
2,1,292188.8516,9105489.661,0,b213c32d-9c55-4a1b-9431-d54c8ff0a3ab,,,,0,,3,1,292216.4153,9105585.787
2,1,292092.7254,9105517.225,0,b213c32d-9c55-4a1b-9431-d54c8ff0a3ab,,,,0,,3,1,292312.5415,9105558.224
2,1,292120.2891,9105613.351,0,b213c32d-9c55-4a1b-9431-d54c8ff0a3ab,,,,1,,3,1,292284.9777,9105462.097
3,1,292216.4153,9105585.787,0,fdff5e50-daa7-4409-948a-efd05f1ccc8f,,,,0,,3,1,292188.8516,9105489.661
3,1,292312.5415,9105558.224,0,fdff5e50-daa7-4409-948a-efd05f1ccc8f,,,,0,,4,1,292340.1052,9105654.35
3,1,292284.9777,9105462.097,0,fdff5e50-daa7-4409-948a-efd05f1ccc8f,,,,0,,4,1,292436.2314,9105626.786
3,1,292188.8516,9105489.661,0,fdff5e50-daa7-4409-948a-efd05f1ccc8f,,,,0,,4,1,292408.6676,9105530.66
3,1,292216.4153,9105585.787,0,fdff5e50-daa7-4409-948a-efd05f1ccc8f,,,,1,,4,1,292312.5415,9105558.224
4,1,292340.1052,9105654.35,0,032a1eaf-1b91-4cb7-832d-7c51b45cd9f5,,,,0,,5,1,292312.5415,9105558.224
4,1,292436.2314,9105626.786,0,032a1eaf-1b91-4cb7-832d-7c51b45cd9f5,,,,0,,5,1,292408.6676,9105530.66
4,1,292408.6676,9105530.66,0,032a1eaf-1b91-4cb7-832d-7c51b45cd9f5,,,,0,,5,1,292381.1039,9105434.534
4,1,292312.5415,9105558.224,0,032a1eaf-1b91-4cb7-832d-7c51b45cd9f5,,,,0,,5,1,292284.9777,9105462.097
4,1,292340.1052,9105654.35,0,032a1eaf-1b91-4cb7-832d-7c51b45cd9f5,,,,1,,6,1,292436.2314,9105626.786
5,1,292312.5415,9105558.224,0,12e69a16-79b6-405c-8a85-77f7c4686018,,,,0,,6,1,292532.3575,9105599.222
5,1,292408.6676,9105530.66,0,12e69a16-79b6-405c-8a85-77f7c4686018,,,,0,,6,1,292504.7938,9105503.096
5,1,292381.1039,9105434.534,0,12e69a16-79b6-405c-8a85-77f7c4686018,,,,0,,6,1,292408.6676,9105530.66
5,1,292284.9777,9105462.097,0,12e69a16-79b6-405c-8a85-77f7c4686018,,,,0,,7,1,292408.6676,9105530.66
5,1,292312.5415,9105558.224,0,12e69a16-79b6-405c-8a85-77f7c4686018,,,,1,,7,1,292504.7938,9105503.096
6,1,292436.2314,9105626.786,0,751208b2-220b-4609-8f95-c0ff95420a2a,,,,0,,7,1,292477.2301,9105406.97
6,1,292532.3575,9105599.222,0,751208b2-220b-4609-8f95-c0ff95420a2a,,,,0,,7,1,292381.1039,9105434.534
6,1,292504.7938,9105503.096,0,751208b2-220b-4609-8f95-c0ff95420a2a,,,,0,,8,1,292532.3575,9105599.222
6,1,292408.6676,9105530.66,0,751208b2-220b-4609-8f95-c0ff95420a2a,,,,0,,8,1,292628.4837,9105571.658
6,1,292436.2314,9105626.786,0,751208b2-220b-4609-8f95-c0ff95420a2a,,,,1,,8,1,292600.92,9105475.532
7,1,292408.6676,9105530.66,0,da6edb2e-1689-4a02-a0a6-3be726b51ec2,,,,0,,8,1,292504.7938,9105503.096
7,1,292504.7938,9105503.096,0,da6edb2e-1689-4a02-a0a6-3be726b51ec2,,,,0,,9,1,292504.7938,9105503.096
7,1,292477.2301,9105406.97,0,da6edb2e-1689-4a02-a0a6-3be726b51ec2,,,,0,,9,1,292600.92,9105475.532
7,1,292381.1039,9105434.534,0,da6edb2e-1689-4a02-a0a6-3be726b51ec2,,,,0,,9,1,292573.3562,9105379.406
7,1,292408.6676,9105530.66,0,da6edb2e-1689-4a02-a0a6-3be726b51ec2,,,,1,,9,1,292477.2301,9105406.97
8,1,292532.3575,9105599.222,0,5e81a504-1a77-4b8c-bd01-3fb0efc4d1f8,,,,0,,10,1,292628.4837,9105571.658
8,1,292628.4837,9105571.658,0,5e81a504-1a77-4b8c-bd01-3fb0efc4d1f8,,,,0,,10,1,292724.6099,9105544.095
8,1,292600.92,9105475.532,0,5e81a504-1a77-4b8c-bd01-3fb0efc4d1f8,,,,0,,10,1,292697.0462,9105447.969
8,1,292504.7938,9105503.096,0,5e81a504-1a77-4b8c-bd01-3fb0efc4d1f8,,,,0,,10,1,292600.92,9105475.532
8,1,292532.3575,9105599.222,0,5e81a504-1a77-4b8c-bd01-3fb0efc4d1f8,,,,1,,11,1,292600.92,9105475.532
9,1,292504.7938,9105503.096,0,6565d056-1e90-488e-81a5-e444a1052a13,,,,0,,11,1,292697.0462,9105447.969
9,1,292600.92,9105475.532,0,6565d056-1e90-488e-81a5-e444a1052a13,,,,0,,11,1,292669.4824,9105351.842
9,1,292573.3562,9105379.406,0,6565d056-1e90-488e-81a5-e444a1052a13,,,,0,,11,1,292573.3562,9105379.406
9,1,292477.2301,9105406.97,0,6565d056-1e90-488e-81a5-e444a1052a13,,,,0,,12,1,292724.6099,9105544.095
9,1,292504.7938,9105503.096,0,6565d056-1e90-488e-81a5-e444a1052a13,,,,1,,12,1,292820.7361,9105516.531
10,1,292628.4837,9105571.658,0,f8463c0c-46b3-4ea4-9b9f-bcc5aea0ecaf,,,,0,,12,1,292793.1723,9105420.405
10,1,292724.6099,9105544.095,0,f8463c0c-46b3-4ea4-9b9f-bcc5aea0ecaf,,,,0,,12,1,292697.0462,9105447.969
10,1,292697.0462,9105447.969,0,f8463c0c-46b3-4ea4-9b9f-bcc5aea0ecaf,,,,0,,13,1,292697.0462,9105447.969
10,1,292600.92,9105475.532,0,f8463c0c-46b3-4ea4-9b9f-bcc5aea0ecaf,,,,0,,13,1,292793.1723,9105420.405
10,1,292628.4837,9105571.658,0,f8463c0c-46b3-4ea4-9b9f-bcc5aea0ecaf,,,,1,,13,1,292765.6086,9105324.279
11,1,292600.92,9105475.532,0,4147e9b2-7d16-4cd7-8ed1-3cbbf7782e77,,,,0,,13,1,292669.4824,9105351.842
11,1,292697.0462,9105447.969,0,4147e9b2-7d16-4cd7-8ed1-3cbbf7782e77,,,,0,,14,1,292820.7361,9105516.531
11,1,292669.4824,9105351.842,0,4147e9b2-7d16-4cd7-8ed1-3cbbf7782e77,,,,0,,14,1,292916.8622,9105488.967
11,1,292573.3562,9105379.406,0,4147e9b2-7d16-4cd7-8ed1-3cbbf7782e77,,,,0,,14,1,292889.2985,9105392.841
11,1,292600.92,9105475.532,0,4147e9b2-7d16-4cd7-8ed1-3cbbf7782e77,,,,1,,14,1,292793.1723,9105420.405
12,1,292724.6099,9105544.095,0,c31e1830-3e8a-4430-a73e-dcbc478b6a85,,,,0,,15,1,292793.1723,9105420.405
12,1,292820.7361,9105516.531,0,c31e1830-3e8a-4430-a73e-dcbc478b6a85,,,,0,,15,1,292889.2985,9105392.841
12,1,292793.1723,9105420.405,0,c31e1830-3e8a-4430-a73e-dcbc478b6a85,,,,0,,15,1,292861.7348,9105296.715
12,1,292697.0462,9105447.969,0,c31e1830-3e8a-4430-a73e-dcbc478b6a85,,,,0,,15,1,292765.6086,9105324.279
12,1,292724.6099,9105544.095,0,c31e1830-3e8a-4430-a73e-dcbc478b6a85,,,,1,,16,1,292916.8622,9105488.967
13,1,292697.0462,9105447.969,0,b03f28e3-84d8-41a6-9ed9-7963c237282f,,,,0,,16,1,293012.9884,9105461.404
13,1,292793.1723,9105420.405,0,b03f28e3-84d8-41a6-9ed9-7963c237282f,,,,0,,16,1,292985.4247,9105365.277
13,1,292765.6086,9105324.279,0,b03f28e3-84d8-41a6-9ed9-7963c237282f,,,,0,,16,1,292889.2985,9105392.841
13,1,292669.4824,9105351.842,0,b03f28e3-84d8-41a6-9ed9-7963c237282f,,,,0,,17,1,292889.2985,9105392.841
13,1,292697.0462,9105447.969,0,b03f28e3-84d8-41a6-9ed9-7963c237282f,,,,1,,17,1,292985.4247,9105365.277
14,1,292820.7361,9105516.531,0,6a90ebfb-536f-4086-bbc5-afeb4a56c5d1,,,,0,,17,1,292957.8609,9105269.151
14,1,292916.8622,9105488.967,0,6a90ebfb-536f-4086-bbc5-afeb4a56c5d1,,,,0,,17,1,292861.7348,9105296.715
14,1,292889.2985,9105392.841,0,6a90ebfb-536f-4086-bbc5-afeb4a56c5d1,,,,0,,18,1,293012.9884,9105461.404
14,1,292793.1723,9105420.405,0,6a90ebfb-536f-4086-bbc5-afeb4a56c5d1,,,,0,,18,1,293109.1146,9105433.84
14,1,292820.7361,9105516.531,0,6a90ebfb-536f-4086-bbc5-afeb4a56c5d1,,,,1,,18,1,293081.5508,9105337.714
15,1,292793.1723,9105420.405,0,cf5e6b3b-866c-4372-95cc-ab86e4676d97,,,,0,,18,1,292985.4247,9105365.277
15,1,292889.2985,9105392.841,0,cf5e6b3b-866c-4372-95cc-ab86e4676d97,,,,0,,19,1,292985.4247,9105365.277
15,1,292861.7348,9105296.715,0,cf5e6b3b-866c-4372-95cc-ab86e4676d97,,,,0,,19,1,293081.5508,9105337.714
15,1,292765.6086,9105324.279,0,cf5e6b3b-866c-4372-95cc-ab86e4676d97,,,,0,,19,1,293053.9871,9105241.587
15,1,292793.1723,9105420.405,0,cf5e6b3b-866c-4372-95cc-ab86e4676d97,,,,1,,19,1,292957.8609,9105269.151
16,1,292916.8622,9105488.967,0,fa069240-dd69-43e4-af19-ff05a3d16b19,,,,0,,20,1,293109.1146,9105433.84
16,1,293012.9884,9105461.404,0,fa069240-dd69-43e4-af19-ff05a3d16b19,,,,0,,20,1,293205.2407,9105406.276
16,1,292985.4247,9105365.277,0,fa069240-dd69-43e4-af19-ff05a3d16b19,,,,0,,20,1,293177.677,9105310.15
16,1,292889.2985,9105392.841,0,fa069240-dd69-43e4-af19-ff05a3d16b19,,,,0,,20,1,293081.5508,9105337.714
16,1,292916.8622,9105488.967,0,fa069240-dd69-43e4-af19-ff05a3d16b19,,,,1,,21,1,293081.5508,9105337.714
17,1,292889.2985,9105392.841,0,0cb7b618-ceb5-465c-a457-ebd109d776f0,,,,0,,21,1,293177.677,9105310.15
17,1,292985.4247,9105365.277,0,0cb7b618-ceb5-465c-a457-ebd109d776f0,,,,0,,21,1,293150.1133,9105214.024
17,1,292957.8609,9105269.151,0,0cb7b618-ceb5-465c-a457-ebd109d776f0,,,,0,,21,1,293053.9871,9105241.587
17,1,292861.7348,9105296.715,0,0cb7b618-ceb5-465c-a457-ebd109d776f0,,,,0,,22,1,292092.7254,9105517.225
17,1,292889.2985,9105392.841,0,0cb7b618-ceb5-465c-a457-ebd109d776f0,,,,1,,22,1,292188.8516,9105489.661
18,1,293012.9884,9105461.404,0,6ee16336-02f8-4eed-9045-efd4384a9ede,,,,0,,22,1,292161.2878,9105393.535
18,1,293109.1146,9105433.84,0,6ee16336-02f8-4eed-9045-efd4384a9ede,,,,0,,22,1,292065.1617,9105421.099
18,1,293081.5508,9105337.714,0,6ee16336-02f8-4eed-9045-efd4384a9ede,,,,0,,23,1,292188.8516,9105489.661
18,1,292985.4247,9105365.277,0,6ee16336-02f8-4eed-9045-efd4384a9ede,,,,0,,23,1,292284.9777,9105462.097
18,1,293012.9884,9105461.404,0,6ee16336-02f8-4eed-9045-efd4384a9ede,,,,1,,23,1,292257.414,9105365.971
19,1,292985.4247,9105365.277,0,c5175e6f-2dff-41cf-8d25-b2f878e866c6,,,,0,,23,1,292161.2878,9105393.535
19,1,293081.5508,9105337.714,0,c5175e6f-2dff-41cf-8d25-b2f878e866c6,,,,0,,24,1,292284.9777,9105462.097
19,1,293053.9871,9105241.587,0,c5175e6f-2dff-41cf-8d25-b2f878e866c6,,,,0,,24,1,292381.1039,9105434.534
19,1,292957.8609,9105269.151,0,c5175e6f-2dff-41cf-8d25-b2f878e866c6,,,,0,,24,1,292353.5402,9105338.407
19,1,292985.4247,9105365.277,0,c5175e6f-2dff-41cf-8d25-b2f878e866c6,,,,1,,24,1,292257.414,9105365.971
20,1,293109.1146,9105433.84,0,c9b4a4ba-f9d0-4347-97aa-6e1a92b194cd,,,,0,,25,1,292381.1039,9105434.534
20,1,293205.2407,9105406.276,0,c9b4a4ba-f9d0-4347-97aa-6e1a92b194cd,,,,0,,25,1,292477.2301,9105406.97
20,1,293177.677,9105310.15,0,c9b4a4ba-f9d0-4347-97aa-6e1a92b194cd,,,,0,,25,1,292449.6663,9105310.844
20,1,293081.5508,9105337.714,0,c9b4a4ba-f9d0-4347-97aa-6e1a92b194cd,,,,0,,25,1,292353.5402,9105338.407
20,1,293109.1146,9105433.84,0,c9b4a4ba-f9d0-4347-97aa-6e1a92b194cd,,,,1,,26,1,292477.2301,9105406.97
21,1,293081.5508,9105337.714,0,861ff45e-a0d5-4349-aac8-406dfd922f24,,,,0,,26,1,292573.3562,9105379.406
21,1,293177.677,9105310.15,0,861ff45e-a0d5-4349-aac8-406dfd922f24,,,,0,,26,1,292545.7925,9105283.28
21,1,293150.1133,9105214.024,0,861ff45e-a0d5-4349-aac8-406dfd922f24,,,,0,,26,1,292449.6663,9105310.844
21,1,293053.9871,9105241.587,0,861ff45e-a0d5-4349-aac8-406dfd922f24,,,,0,,27,1,292573.3562,9105379.406
21,1,293081.5508,9105337.714,0,861ff45e-a0d5-4349-aac8-406dfd922f24,,,,1,,27,1,292669.4824,9105351.842
22,1,292092.7254,9105517.225,0,c7a39d24-b748-445d-b35a-f45fbb72ed31,,,,0,,27,1,292641.9187,9105255.716
22,1,292188.8516,9105489.661,0,c7a39d24-b748-445d-b35a-f45fbb72ed31,,,,0,,27,1,292545.7925,9105283.28
22,1,292161.2878,9105393.535,0,c7a39d24-b748-445d-b35a-f45fbb72ed31,,,,0,,28,1,292669.4824,9105351.842
22,1,292065.1617,9105421.099,0,c7a39d24-b748-445d-b35a-f45fbb72ed31,,,,0,,28,1,292765.6086,9105324.279
22,1,292092.7254,9105517.225,0,c7a39d24-b748-445d-b35a-f45fbb72ed31,,,,1,,28,1,292738.0448,9105228.153
23,1,292188.8516,9105489.661,0,1d365887-efb4-4822-baa8-4ae19d42b814,,,,0,,28,1,292641.9187,9105255.716
23,1,292284.9777,9105462.097,0,1d365887-efb4-4822-baa8-4ae19d42b814,,,,0,,29,1,292765.6086,9105324.279
23,1,292257.414,9105365.971,0,1d365887-efb4-4822-baa8-4ae19d42b814,,,,0,,29,1,292861.7348,9105296.715
23,1,292161.2878,9105393.535,0,1d365887-efb4-4822-baa8-4ae19d42b814,,,,0,,29,1,292834.171,9105200.589
23,1,292188.8516,9105489.661,0,1d365887-efb4-4822-baa8-4ae19d42b814,,,,1,,29,1,292738.0448,9105228.153
24,1,292284.9777,9105462.097,0,d3016674-588b-4449-a5aa-9bbcf1d312d3,,,,0,,30,1,292861.7348,9105296.715
24,1,292381.1039,9105434.534,0,d3016674-588b-4449-a5aa-9bbcf1d312d3,,,,0,,30,1,292957.8609,9105269.151
24,1,292353.5402,9105338.407,0,d3016674-588b-4449-a5aa-9bbcf1d312d3,,,,0,,30,1,292930.2972,9105173.025
24,1,292257.414,9105365.971,0,d3016674-588b-4449-a5aa-9bbcf1d312d3,,,,0,,30,1,292834.171,9105200.589
24,1,292284.9777,9105462.097,0,d3016674-588b-4449-a5aa-9bbcf1d312d3,,,,1,,31,1,292957.8609,9105269.151
25,1,292381.1039,9105434.534,0,e477083a-4335-4e21-a7ce-c9fe1df2d63e,,,,0,,31,1,293053.9871,9105241.587
25,1,292477.2301,9105406.97,0,e477083a-4335-4e21-a7ce-c9fe1df2d63e,,,,0,,31,1,293026.4234,9105145.461
25,1,292449.6663,9105310.844,0,e477083a-4335-4e21-a7ce-c9fe1df2d63e,,,,0,,31,1,292930.2972,9105173.025
25,1,292353.5402,9105338.407,0,e477083a-4335-4e21-a7ce-c9fe1df2d63e,,,,0,,32,1,293053.9871,9105241.587
25,1,292381.1039,9105434.534,0,e477083a-4335-4e21-a7ce-c9fe1df2d63e,,,,1,,32,1,293150.1133,9105214.024
26,1,292477.2301,9105406.97,0,32dcb186-974d-4e24-9dd6-fea9e16dca6b,,,,0,,32,1,293122.5495,9105117.898
26,1,292573.3562,9105379.406,0,32dcb186-974d-4e24-9dd6-fea9e16dca6b,,,,0,,32,1,293026.4234,9105145.461
26,1,292545.7925,9105283.28,0,32dcb186-974d-4e24-9dd6-fea9e16dca6b,,,,0,,33,1,292065.1617,9105421.099
26,1,292449.6663,9105310.844,0,32dcb186-974d-4e24-9dd6-fea9e16dca6b,,,,0,,33,1,292161.2878,9105393.535
26,1,292477.2301,9105406.97,0,32dcb186-974d-4e24-9dd6-fea9e16dca6b,,,,1,,33,1,292133.7241,9105297.409
27,1,292573.3562,9105379.406,0,d46e6c50-75be-4caa-885e-7abc245a6417,,,,0,,33,1,292037.5979,9105324.972
27,1,292669.4824,9105351.842,0,d46e6c50-75be-4caa-885e-7abc245a6417,,,,0,,34,1,292161.2878,9105393.535
27,1,292641.9187,9105255.716,0,d46e6c50-75be-4caa-885e-7abc245a6417,,,,0,,34,1,292257.414,9105365.971
27,1,292545.7925,9105283.28,0,d46e6c50-75be-4caa-885e-7abc245a6417,,,,0,,34,1,292229.8503,9105269.845
27,1,292573.3562,9105379.406,0,d46e6c50-75be-4caa-885e-7abc245a6417,,,,1,,34,1,292133.7241,9105297.409
28,1,292669.4824,9105351.842,0,89bf966c-d01b-424e-9739-7210287be82e,,,,0,,35,1,292257.414,9105365.971
28,1,292765.6086,9105324.279,0,89bf966c-d01b-424e-9739-7210287be82e,,,,0,,35,1,292353.5402,9105338.407
28,1,292738.0448,9105228.153,0,89bf966c-d01b-424e-9739-7210287be82e,,,,0,,35,1,292325.9764,9105242.281
28,1,292641.9187,9105255.716,0,89bf966c-d01b-424e-9739-7210287be82e,,,,0,,35,1,292229.8503,9105269.845
28,1,292669.4824,9105351.842,0,89bf966c-d01b-424e-9739-7210287be82e,,,,1,,36,1,292353.5402,9105338.407
29,1,292765.6086,9105324.279,0,5eef3c5f-b3be-4b46-a8fc-61217d2fae49,,,,0,,36,1,292449.6663,9105310.844
29,1,292861.7348,9105296.715,0,5eef3c5f-b3be-4b46-a8fc-61217d2fae49,,,,0,,36,1,292422.1026,9105214.718
29,1,292834.171,9105200.589,0,5eef3c5f-b3be-4b46-a8fc-61217d2fae49,,,,0,,36,1,292325.9764,9105242.281
29,1,292738.0448,9105228.153,0,5eef3c5f-b3be-4b46-a8fc-61217d2fae49,,,,0,,37,1,292449.6663,9105310.844
29,1,292765.6086,9105324.279,0,5eef3c5f-b3be-4b46-a8fc-61217d2fae49,,,,1,,37,1,292545.7925,9105283.28
30,1,292861.7348,9105296.715,0,736487d2-37cb-4a01-bd6a-601a68400aa6,,,,0,,37,1,292518.2288,9105187.154
30,1,292957.8609,9105269.151,0,736487d2-37cb-4a01-bd6a-601a68400aa6,,,,0,,37,1,292422.1026,9105214.718
30,1,292930.2972,9105173.025,0,736487d2-37cb-4a01-bd6a-601a68400aa6,,,,0,,38,1,292545.7925,9105283.28
30,1,292834.171,9105200.589,0,736487d2-37cb-4a01-bd6a-601a68400aa6,,,,0,,38,1,292641.9187,9105255.716
30,1,292861.7348,9105296.715,0,736487d2-37cb-4a01-bd6a-601a68400aa6,,,,1,,38,1,292614.3549,9105159.59
31,1,292957.8609,9105269.151,0,8b173b5b-fb51-4c92-913d-b15a2bb6ae6a,,,,0,,38,1,292518.2288,9105187.154
31,1,293053.9871,9105241.587,0,8b173b5b-fb51-4c92-913d-b15a2bb6ae6a,,,,0,,39,1,292641.9187,9105255.716
31,1,293026.4234,9105145.461,0,8b173b5b-fb51-4c92-913d-b15a2bb6ae6a,,,,0,,39,1,292738.0448,9105228.153
31,1,292930.2972,9105173.025,0,8b173b5b-fb51-4c92-913d-b15a2bb6ae6a,,,,0,,39,1,292710.4811,9105132.026
31,1,292957.8609,9105269.151,0,8b173b5b-fb51-4c92-913d-b15a2bb6ae6a,,,,1,,39,1,292614.3549,9105159.59
32,1,293053.9871,9105241.587,0,6624b722-716c-4482-b3d4-d8ee32ee5774,,,,0,,40,1,292738.0448,9105228.153
32,1,293150.1133,9105214.024,0,6624b722-716c-4482-b3d4-d8ee32ee5774,,,,0,,40,1,292834.171,9105200.589
32,1,293122.5495,9105117.898,0,6624b722-716c-4482-b3d4-d8ee32ee5774,,,,0,,40,1,292806.6073,9105104.463
32,1,293026.4234,9105145.461,0,6624b722-716c-4482-b3d4-d8ee32ee5774,,,,0,,40,1,292710.4811,9105132.026
32,1,293053.9871,9105241.587,0,6624b722-716c-4482-b3d4-d8ee32ee5774,,,,1,,41,1,292834.171,9105200.589
33,1,292065.1617,9105421.099,0,71c1c418-2b61-4c4b-be2a-1bbea7655dc9,,,,0,,41,1,292930.2972,9105173.025
33,1,292161.2878,9105393.535,0,71c1c418-2b61-4c4b-be2a-1bbea7655dc9,,,,0,,41,1,292902.7335,9105076.899
33,1,292133.7241,9105297.409,0,71c1c418-2b61-4c4b-be2a-1bbea7655dc9,,,,0,,41,1,292806.6073,9105104.463
33,1,292037.5979,9105324.972,0,71c1c418-2b61-4c4b-be2a-1bbea7655dc9,,,,0,,42,1,292930.2972,9105173.025
33,1,292065.1617,9105421.099,0,71c1c418-2b61-4c4b-be2a-1bbea7655dc9,,,,1,,42,1,293026.4234,9105145.461
34,1,292161.2878,9105393.535,0,8b6be965-4766-40e5-902b-40862aaa50d6,,,,0,,42,1,292998.8596,9105049.335
34,1,292257.414,9105365.971,0,8b6be965-4766-40e5-902b-40862aaa50d6,,,,0,,42,1,292902.7335,9105076.899
34,1,292229.8503,9105269.845,0,8b6be965-4766-40e5-902b-40862aaa50d6,,,,0,,43,1,293026.4234,9105145.461
34,1,292133.7241,9105297.409,0,8b6be965-4766-40e5-902b-40862aaa50d6,,,,0,,43,1,293122.5495,9105117.898
34,1,292161.2878,9105393.535,0,8b6be965-4766-40e5-902b-40862aaa50d6,,,,1,,43,1,293094.9858,9105021.771
35,1,292257.414,9105365.971,0,22efe6c6-bdd3-4064-96eb-391c02e4b65a,,,,0,,43,1,292998.8596,9105049.335
35,1,292353.5402,9105338.407,0,22efe6c6-bdd3-4064-96eb-391c02e4b65a,,,,0,,44,1,292037.5979,9105324.972
35,1,292325.9764,9105242.281,0,22efe6c6-bdd3-4064-96eb-391c02e4b65a,,,,0,,44,1,292133.7241,9105297.409
35,1,292229.8503,9105269.845,0,22efe6c6-bdd3-4064-96eb-391c02e4b65a,,,,0,,44,1,292106.1604,9105201.283
35,1,292257.414,9105365.971,0,22efe6c6-bdd3-4064-96eb-391c02e4b65a,,,,1,,44,1,292010.0342,9105228.846
36,1,292353.5402,9105338.407,0,ada3691a-8735-4eed-87ab-c6bb6264128e,,,,0,,45,1,292133.7241,9105297.409
36,1,292449.6663,9105310.844,0,ada3691a-8735-4eed-87ab-c6bb6264128e,,,,0,,45,1,292229.8503,9105269.845
36,1,292422.1026,9105214.718,0,ada3691a-8735-4eed-87ab-c6bb6264128e,,,,0,,45,1,292202.2865,9105173.719
36,1,292325.9764,9105242.281,0,ada3691a-8735-4eed-87ab-c6bb6264128e,,,,0,,45,1,292106.1604,9105201.283
