Z,KX,KY,KZ
-34.643002,0.300000,0.300000,0.003000
-35.033001,0.300000,0.300000,0.003000
-36.617001,0.300000,0.300000,0.003000
-37.723999,0.300000,0.300000,0.003000
-37.092999,0.300000,0.300000,0.003000
-38.956001,0.300000,0.300000,0.003000
-40.417999,0.300000,0.300000,0.003000
-41.970001,0.300000,0.300000,0.003000
-44.095001,0.300000,0.300000,0.003000
-47.408001,0.300000,0.300000,0.003000
-51.205002,0.300000,0.300000,0.003000
-52.021999,0.300000,0.300000,0.003000
-55.386002,0.300000,0.300000,0.003000
-57.490002,0.300000,0.300000,0.003000
-56.408001,0.300000,0.300000,0.003000
-59.865002,0.300000,0.300000,0.003000
-57.244999,0.300000,0.300000,0.003000
-60.707001,0.300000,0.300000,0.003000
-56.661999,0.300000,0.300000,0.003000
-60.217999,0.300000,0.300000,0.003000
-57.238998,0.300000,0.300000,0.003000
-60.701000,0.300000,0.300000,0.003000
-39.159000,0.300000,0.300000,0.003000
-39.119000,0.300000,0.300000,0.003000
-42.081001,0.300000,0.300000,0.003000
-44.459000,0.300000,0.300000,0.003000
-49.104000,0.300000,0.300000,0.003000
-53.622002,0.300000,0.300000,0.003000
-56.551998,0.300000,0.300000,0.003000
-60.403000,0.300000,0.300000,0.003000
-63.016998,0.300000,0.300000,0.003000
-63.870001,0.300000,0.300000,0.003000
-64.163000,0.300000,0.300000,0.003000
-41.806000,0.300000,0.300000,0.003000
-41.092999,0.300000,0.300000,0.003000
-42.666000,0.300000,0.300000,0.003000
-45.566002,0.300000,0.300000,0.003000
-49.415001,0.300000,0.300000,0.003000
-52.813999,0.300000,0.300000,0.003000
-58.157001,0.300000,0.300000,0.003000
-63.422001,0.300000,0.300000,0.003000
-66.771004,0.300000,0.300000,0.003000
-66.917000,0.300000,0.300000,0.003000
-66.235001,0.300000,0.300000,0.003000
-43.426998,0.300000,0.300000,0.003000
-41.224998,0.300000,0.300000,0.003000
-40.666000,0.300000,0.300000,0.003000
-42.764999,0.300000,0.300000,0.003000
-47.292999,0.300000,0.300000,0.003000
-55.750000,0.300000,0.300000,0.003000
-63.208000,0.300000,0.300000,0.003000
-67.490997,0.300000,0.300000,0.003000
-70.833000,0.300000,0.300000,0.003000
-70.266998,0.300000,0.300000,0.003000
-70.764000,0.300000,0.300000,0.003000
-43.320999,0.300000,0.300000,0.003000
-42.331001,0.300000,0.300000,0.003000
-41.580002,0.300000,0.300000,0.003000
-44.595001,0.300000,0.300000,0.003000
-52.881000,0.300000,0.300000,0.003000
-60.398998,0.300000,0.300000,0.003000
-67.962997,0.300000,0.300000,0.003000
-72.311997,0.300000,0.300000,0.003000
-74.543999,0.300000,0.300000,0.003000
-73.875000,0.300000,0.300000,0.003000
-74.559998,0.300000,0.300000,0.003000
-42.786999,0.300000,0.300000,0.003000
-44.297001,0.300000,0.300000,0.003000
-47.158001,0.300000,0.300000,0.003000
-50.764999,0.300000,0.300000,0.003000
-60.661999,0.300000,0.300000,0.003000
-70.988998,0.300000,0.300000,0.003000
-75.856003,0.300000,0.300000,0.003000
-77.228996,0.300000,0.300000,0.003000
-77.570999,0.300000,0.300000,0.003000
-77.139000,0.300000,0.300000,0.003000
-77.597000,0.300000,0.300000,0.003000
-44.699001,0.300000,0.300000,0.003000
-44.321999,0.300000,0.300000,0.003000
-51.393002,0.300000,0.300000,0.003000
-58.806000,0.300000,0.300000,0.003000
-68.973999,0.300000,0.300000,0.003000
-74.554001,0.300000,0.300000,0.003000
-78.150002,0.300000,0.300000,0.003000
-78.161003,0.300000,0.300000,0.003000
-78.178001,0.300000,0.300000,0.003000
-78.153000,0.300000,0.300000,0.003000
-78.177002,0.300000,0.300000,0.003000
-43.636002,0.300000,0.300000,0.003000
-46.391998,0.300000,0.300000,0.003000
-54.868000,0.300000,0.300000,0.003000
-62.486000,0.300000,0.300000,0.003000
-68.915001,0.300000,0.300000,0.003000
-75.416000,0.300000,0.300000,0.003000
-77.861999,0.300000,0.300000,0.003000
-78.335999,0.300000,0.300000,0.003000
-78.348000,0.300000,0.300000,0.003000
-78.325996,0.300000,0.300000,0.003000
-78.348000,0.300000,0.300000,0.003000
-42.369999,0.300000,0.300000,0.003000
-47.228001,0.300000,0.300000,0.003000
-53.772999,0.300000,0.300000,0.003000
-63.236000,0.300000,0.300000,0.003000
-70.370003,0.300000,0.300000,0.003000
-74.944000,0.300000,0.300000,0.003000
-77.569000,0.300000,0.300000,0.003000
-78.359001,0.300000,0.300000,0.003000
-78.514999,0.300000,0.300000,0.003000
-78.486000,0.300000,0.300000,0.003000
-78.518997,0.300000,0.300000,0.003000
-43.206001,0.300000,0.300000,0.003000
-44.169998,0.300000,0.300000,0.003000
-53.917999,0.300000,0.300000,0.003000
-60.672001,0.300000,0.300000,0.003000
-69.249000,0.300000,0.300000,0.003000
-74.060997,0.300000,0.300000,0.003000
-76.200996,0.300000,0.300000,0.003000
-78.189003,0.300000,0.300000,0.003000
-78.630997,0.300000,0.300000,0.003000
-78.646004,0.300000,0.300000,0.003000
-78.641998,0.300000,0.300000,0.003000
-43.039001,0.300000,0.300000,0.003000
-42.387001,0.300000,0.300000,0.003000
-49.307999,0.300000,0.300000,0.003000
-59.069000,0.300000,0.300000,0.003000
-66.186997,0.300000,0.300000,0.003000
-71.542000,0.300000,0.300000,0.003000
-75.441002,0.300000,0.300000,0.003000
-77.584000,0.300000,0.300000,0.003000
-78.523003,0.300000,0.300000,0.003000
-78.824997,0.300000,0.300000,0.003000
-78.848000,0.300000,0.300000,0.003000
-42.275002,0.300000,0.300000,0.003000
-42.939999,0.300000,0.300000,0.003000
-45.731998,0.300000,0.300000,0.003000
-52.466000,0.300000,0.300000,0.003000
-61.140999,0.300000,0.300000,0.003000
-70.302002,0.300000,0.300000,0.003000
-74.874000,0.300000,0.300000,0.003000
-78.244003,0.300000,0.300000,0.003000
-79.029999,0.300000,0.300000,0.003000
-78.995003,0.300000,0.300000,0.003000
-79.027000,0.300000,0.300000,0.003000
-42.683998,0.300000,0.300000,0.003000
-42.307999,0.300000,0.300000,0.003000
-45.189999,0.300000,0.300000,0.003000
-49.619999,0.300000,0.300000,0.003000
-57.081001,0.300000,0.300000,0.003000
-67.303001,0.300000,0.300000,0.003000
-75.963997,0.300000,0.300000,0.003000
-78.468002,0.300000,0.300000,0.003000
-79.202004,0.300000,0.300000,0.003000
-79.180000,0.300000,0.300000,0.003000
-79.202004,0.300000,0.300000,0.003000
