FeatureID;X;Y;Elevation;Zone;Start_Time[day];Stop_Time[day];Rate[mm/yr]
0;292182.1341;9105647.632;7.9017;7;0.00E+00;3.65E+02;270
1;292278.2603;9105620.068;8.2603;7;0.00E+00;3.65E+02;270
2;292374.3864;9105592.505;7.8561;7;0.00E+00;3.65E+02;270
3;292470.5126;9105564.941;7.4142;7;0.00E+00;3.65E+02;270
4;292566.6388;9105537.377;7.1246;7;0.00E+00;3.65E+02;270
5;292662.7649;9105509.814;5.2422;7;0.00E+00;3.65E+02;270
6;292758.8911;9105482.25;2.8419;7;0.00E+00;3.65E+02;270
7;292855.0173;9105454.686;1.1528;7;0.00E+00;3.65E+02;270
8;292951.1434;9105427.122;0.27957;21;0.00E+00;3.65E+02;90
9;293047.2696;9105399.559;0;1;0.00E+00;3.65E+02;0
10;293143.3958;9105371.995;0;1;0.00E+00;3.65E+02;0
11;292154.5703;9105551.506;7.7481;7;0.00E+00;3.65E+02;270
12;292250.6965;9105523.942;7.4253;7;0.00E+00;3.65E+02;270
13;292346.8227;9105496.379;7.1724;7;0.00E+00;3.65E+02;270
14;292442.9489;9105468.815;7.2244;7;0.00E+00;3.65E+02;270
15;292539.075;9105441.251;7.0469;7;0.00E+00;3.65E+02;270
16;292635.2012;9105413.687;5.947;7;0.00E+00;3.65E+02;270
17;292731.3274;9105386.124;3.3033;7;0.00E+00;3.65E+02;270
18;292827.4535;9105358.56;0.54134;20;0.00E+00;3.65E+02;240
19;292923.5797;9105330.996;0;1;0.00E+00;3.65E+02;0
20;293019.7059;9105303.432;0;1;0.00E+00;3.65E+02;0
21;293115.832;9105275.869;0;1;0.00E+00;3.65E+02;0
22;292127.0066;9105455.38;7.6969;7;0.00E+00;3.65E+02;270
23;292223.1328;9105427.816;7.7893;7;0.00E+00;3.65E+02;270
24;292319.259;9105400.252;7.5741;7;0.00E+00;3.65E+02;270
25;292415.3851;9105372.689;7.2335;7;0.00E+00;3.65E+02;270
26;292511.5113;9105345.125;6.4209;7;0.00E+00;3.65E+02;270
27;292607.6375;9105317.561;4.9259;7;0.00E+00;3.65E+02;270
28;292703.7636;9105289.997;3.5539;7;0.00E+00;3.65E+02;270
29;292799.8898;9105262.434;1.858;36;0.00E+00;3.65E+02;210
30;292896.016;9105234.87;0.03478;1;0.00E+00;3.65E+02;0
31;292992.1421;9105207.306;0;1;0.00E+00;3.65E+02;0
32;293088.2683;9105179.743;0;1;0.00E+00;3.65E+02;0
33;292099.4429;9105359.254;7.9998;7;0.00E+00;3.65E+02;270
34;292195.569;9105331.69;7.7063;7;0.00E+00;3.65E+02;270
35;292291.6952;9105304.126;7.4774;7;0.00E+00;3.65E+02;270
36;292387.8214;9105276.562;7.1822;7;0.00E+00;3.65E+02;270
37;292483.9476;9105248.999;6.2306;7;0.00E+00;3.65E+02;270
38;292580.0737;9105221.435;5.0955;7;0.00E+00;3.65E+02;270
39;292676.1999;9105193.871;3.5548;7;0.00E+00;3.65E+02;270
40;292772.3261;9105166.308;1.9654;11;0.00E+00;3.65E+02;140
41;292868.4522;9105138.744;0.082805;1;0.00E+00;3.65E+02;0
42;292964.5784;9105111.18;0;1;0.00E+00;3.65E+02;0
43;293060.7046;9105083.616;0;1;0.00E+00;3.65E+02;0
44;292071.8791;9105263.128;8.0663;7;0.00E+00;3.65E+02;270
45;292168.0053;9105235.564;8.5782;7;0.00E+00;3.65E+02;270
46;292264.1315;9105208;8.9304;7;0.00E+00;3.65E+02;270
47;292360.2577;9105180.436;9.3128;7;0.00E+00;3.65E+02;270
48;292456.3838;9105152.873;8.5282;7;0.00E+00;3.65E+02;270
49;292552.51;9105125.309;5.6773;7;0.00E+00;3.65E+02;270
50;292648.6362;9105097.745;2.4658;30;0.00E+00;3.65E+02;250
51;292744.7623;9105070.181;0.53654;23;0.00E+00;3.65E+02;10
52;292840.8885;9105042.618;0;1;0.00E+00;3.65E+02;0
53;292937.0147;9105015.054;0;1;0.00E+00;3.65E+02;0
54;293033.1408;9104987.49;0;1;0.00E+00;3.65E+02;0
55;292044.3154;9105167.001;7.2788;7;0.00E+00;3.65E+02;270
56;292140.4416;9105139.438;7.7465;7;0.00E+00;3.65E+02;270
57;292236.5677;9105111.874;9.082;7;0.00E+00;3.65E+02;270
58;292344.121;9105063.695;9.3192;7;0.00E+00;3.65E+02;270
59;292428.8201;9105056.746;6.274;7;0.00E+00;3.65E+02;270
60;292524.9463;9105029.183;3.8306;7;0.00E+00;3.65E+02;270
61;292621.0724;9105001.619;1.5524;7;0.00E+00;3.65E+02;270
62;292717.1986;9104974.055;0.21025;22;0.00E+00;3.65E+02;40
63;292813.3248;9104946.491;0;1;0.00E+00;3.65E+02;0
64;292909.4509;9104918.928;0;1;0.00E+00;3.65E+02;0
65;293005.5771;9104891.364;0;1;0.00E+00;3.65E+02;0
66;292016.7517;9105070.875;7.7801;7;0.00E+00;3.65E+02;270
67;292112.8778;9105043.311;8.4194;7;0.00E+00;3.65E+02;270
68;292209.004;9105015.748;9.1075;7;0.00E+00;3.65E+02;270
69;292305.1302;9104988.184;9.6015;7;0.00E+00;3.65E+02;270
70;292401.2564;9104960.62;8.0474;7;0.00E+00;3.65E+02;270
71;292497.3825;9104933.057;4.6408;7;0.00E+00;3.65E+02;270
72;292593.5087;9104905.493;2.7059;7;0.00E+00;3.65E+02;270
73;292689.6349;9104877.929;0.31816;32;0.00E+00;3.65E+02;120
74;292785.761;9104850.365;0;1;0.00E+00;3.65E+02;0
75;292881.8872;9104822.802;0;1;0.00E+00;3.65E+02;0
76;292978.0134;9104795.238;0;1;0.00E+00;3.65E+02;0
77;291989.1879;9104974.749;8.1612;7;0.00E+00;3.65E+02;270
78;292085.3141;9104947.185;8.4288;7;0.00E+00;3.65E+02;270
79;292181.4403;9104919.622;10.027;7;0.00E+00;3.65E+02;270
80;292277.5664;9104892.058;10.823;7;0.00E+00;3.65E+02;270
81;292373.6926;9104864.494;10.788;7;0.00E+00;3.65E+02;270
82;292469.8188;9104836.93;9.0931;7;0.00E+00;3.65E+02;270
83;292565.945;9104809.367;3.9032;7;0.00E+00;3.65E+02;270
84;292662.0711;9104781.803;0.091959;8;0.00E+00;3.65E+02;200
85;292758.1973;9104754.239;0;1;0.00E+00;3.65E+02;0
86;292854.3235;9104726.675;0;1;0.00E+00;3.65E+02;0
87;292950.4496;9104699.112;0;1;0.00E+00;3.65E+02;0
88;291961.6242;9104878.623;7.7598;7;0.00E+00;3.65E+02;270
89;292057.7504;9104851.059;8.7651;7;0.00E+00;3.65E+02;270
90;292153.8765;9104823.495;9.7574;7;0.00E+00;3.65E+02;270
91;292250.0027;9104795.932;9.8111;7;0.00E+00;3.65E+02;270
92;292346.1289;9104768.368;7.9783;7;0.00E+00;3.65E+02;270
93;292442.255;9104740.804;5.9377;7;0.00E+00;3.65E+02;270
94;292538.3812;9104713.24;3.1422;7;0.00E+00;3.65E+02;270
95;292634.5074;9104685.677;0.22346;55;0.00E+00;3.65E+02;50
96;292730.6336;9104658.113;0;1;0.00E+00;3.65E+02;0
97;292826.7597;9104630.549;0;1;0.00E+00;3.65E+02;0
98;292922.8859;9104602.985;0;1;0.00E+00;3.65E+02;0
99;291934.0605;9104782.497;8.1305;35;0.00E+00;3.65E+02;260
100;292030.1866;9104754.933;8.6937;7;0.00E+00;3.65E+02;270
101;292126.3128;9104727.369;9.1161;7;0.00E+00;3.65E+02;270
102;292222.439;9104699.805;7.5589;7;0.00E+00;3.65E+02;270
103;292318.5651;9104672.242;6.7334;7;0.00E+00;3.65E+02;270
104;292414.6913;9104644.678;4.3377;7;0.00E+00;3.65E+02;270
105;292510.8175;9104617.114;1.6388;7;0.00E+00;3.65E+02;270
106;292606.9437;9104589.551;0.30748;14;0.00E+00;3.65E+02;70
107;292703.0698;9104561.987;0.17728;1;0.00E+00;3.65E+02;0
108;292799.196;9104534.423;0;1;0.00E+00;3.65E+02;0
109;292895.3222;9104506.859;0;1;0.00E+00;3.65E+02;0
110;291906.4967;9104686.371;7.8421;14;0.00E+00;3.65E+02;70
111;292002.6229;9104658.807;8.6629;7;0.00E+00;3.65E+02;270
112;292098.7491;9104631.243;9.3695;7;0.00E+00;3.65E+02;270
113;292194.8752;9104603.679;9.7769;7;0.00E+00;3.65E+02;270
114;292291.0014;9104576.116;6.9656;7;0.00E+00;3.65E+02;270
115;292387.1276;9104548.552;3.8272;7;0.00E+00;3.65E+02;270
116;292483.2537;9104520.988;1.6054;7;0.00E+00;3.65E+02;270
117;292579.3799;9104493.424;0.18319;19;0.00E+00;3.65E+02;150
118;292675.5061;9104465.861;0.066667;1;0.00E+00;3.65E+02;0
119;292771.6323;9104438.297;0;1;0.00E+00;3.65E+02;0
120;292867.7584;9104410.733;0;1;0.00E+00;3.65E+02;0
121;291878.933;9104590.244;7.526;31;0.00E+00;3.65E+02;230
122;291975.0592;9104562.681;7.8715;7;0.00E+00;3.65E+02;270
123;292071.1853;9104535.117;8.4484;7;0.00E+00;3.65E+02;270
124;292167.3115;9104507.553;7.0902;7;0.00E+00;3.65E+02;270
125;292263.4377;9104479.989;5.4358;7;0.00E+00;3.65E+02;270
126;292359.5638;9104452.426;3.0676;7;0.00E+00;3.65E+02;270
127;292455.69;9104424.862;1.0896;7;0.00E+00;3.65E+02;270
128;292551.8162;9104397.298;0.20814;8;0.00E+00;3.65E+02;200
129;292647.9424;9104369.734;0.051057;1;0.00E+00;3.65E+02;0
130;292744.0685;9104342.171;0;1;0.00E+00;3.65E+02;0
131;292840.1947;9104314.607;0;1;0.00E+00;3.65E+02;0
132;291851.3693;9104494.118;7.4781;7;0.00E+00;3.65E+02;270
133;291947.4954;9104466.554;7.6637;7;0.00E+00;3.65E+02;270
134;292043.6216;9104438.991;8.2752;7;0.00E+00;3.65E+02;270
135;292139.7478;9104411.427;8.5339;7;0.00E+00;3.65E+02;270
136;292235.8739;9104383.863;6.5507;7;0.00E+00;3.65E+02;270
137;292332.0001;9104356.299;2.9999;7;0.00E+00;3.65E+02;270
138;292428.1263;9104328.736;1.5271;7;0.00E+00;3.65E+02;270
139;292524.2524;9104301.172;0.14945;16;0.00E+00;3.65E+02;190
140;292620.3786;9104273.608;0;1;0.00E+00;3.65E+02;0
141;292716.5048;9104246.045;0;1;0.00E+00;3.65E+02;0
142;292812.631;9104218.481;0;1;0.00E+00;3.65E+02;0
143;291823.8055;9104397.992;8.132;7;0.00E+00;3.65E+02;270
144;291919.9317;9104370.428;8.0385;7;0.00E+00;3.65E+02;270
145;292016.0579;9104342.865;8.2492;7;0.00E+00;3.65E+02;270
146;292112.184;9104315.301;7.8168;7;0.00E+00;3.65E+02;270
147;292208.3102;9104287.737;6.7913;7;0.00E+00;3.65E+02;270
148;292304.4364;9104260.173;4.0661;7;0.00E+00;3.65E+02;270
149;292400.5625;9104232.61;0.62725;7;0.00E+00;3.65E+02;270
150;292496.6887;9104205.046;0.022785;11;0.00E+00;3.65E+02;140
151;292592.8149;9104177.482;0;1;0.00E+00;3.65E+02;0
152;292688.941;9104149.918;0;1;0.00E+00;3.65E+02;0
153;292785.0672;9104122.355;0;1;0.00E+00;3.65E+02;0
