Well_Name;Rate[m^3/d;Screen_Top;Screen_Bot;ROW;COLUMN;LAYER;;;;;;;;
VAZAR494;-7.279759;6.735391;-32.951078;7;50;2;;;;;;;;
HRIII_7150;-40;-36.010598;-183.86091;8;51;6;;;;;;;;Horizones
VAZAR495;-7.279759;7.090798;-33.3593;7;51;2;;;;;;;1;8.0474
HRIII_7121;-40;-38.839877;-184.40829;7;53;6;;;;;Nope;;2;7.0474
VAZAR496;-7.279759;6.677021;-28.790288;7;52;2;;;;;;;3;-53.577
HRIII_7296;-40;-42.539785;-185.36777;7;54;6;;;;;;;4;-58.745998
VAZAR497;-7.279759;6.217856;-32.648682;7;53;2;;;;;;;5;-60.161999
VAZAR498;-7.279759;5.908608;-36.849746;7;54;2;;;;;;;6;-61.161999
3075-P_04;-44;-49.690943;-187.97195;7;55;6;;;;;;;7;-190.229996
4187-P_08;-15;4.218897;-45.2393;8;55;2;;;;;;;8;-191.229996
VAZAR499;-7.279759;3.950712;-45.030804;7;55;2;;;;;;;;
VAZAR500;-7.279759;1.479714;-49.753922;7;56;2;;;;;;;;
VAZAR501;-7.128595;-0.352077;-50.875766;7;57;2;;;;;;;;
4795-P_10;-10;6.57747;-27.203447;8;50;2;;;;;;;;
4796-P_10;-10;6.57747;-27.203447;8;50;2;;;;;;;;
HRIII_7142;-40;-36.010598;-183.86091;8;51;6;;;;;;;;
HRIII_7449;-10;6.57747;-27.203447;8;50;2;;;;;;;;
HRIII_7450;-40;-37.333829;-183.86823;9;50;6;;;;;;;;
VAZAR568;-7.279759;6.57747;-27.203447;8;50;2;;;;;;;;
HRIII_7178;-40;-36.010598;-183.86091;8;51;6;;;;;;;;
VAZAR569;-7.279759;6.249842;-28.494065;8;51;2;;;;;;;;
VAZAR570;-7.279759;5.991761;-29.771027;8;52;2;;;;;;;;
HRIII_7119;-40;-40.29344;-184.39366;8;53;6;;;;;;;;
HRIII_7120;-40;-40.29344;-184.39366;8;53;6;;;;;;;;
VAZAR571;-7.279759;6.025885;-33.273589;8;53;2;;;;;;;;
HRIII_7287;-10;5.816532;-39.79099;8;54;2;;;;;;;;
HRIII_7289;-40;-45.78775;-185.54451;8;54;6;;;;;;;;
VAZAR572;-7.279759;5.816532;-39.79099;8;54;2;;;;;;;;
707-P_99;-10.2;-50.440218;-186.67082;8;55;6;;;;;;;;
VAZAR573;-7.279759;4.218897;-45.2393;8;55;2;;;;;;;;
VAZAR574;-7.279759;1.272001;-51.727824;8;56;2;;;;;;;;
VAZAR575;-6.390195;-1.022971;-54.664663;8;57;3;;;;;;;;
HRIII_7405;-40;-37.333829;-183.86823;9;50;6;;;;;;;;
HRIII_7408;-40;-37.333829;-183.86823;9;50;6;;;;;;;;
VAZAR642;-7.279759;6.519131;-28.687556;9;50;2;;;;;;;;
2423-P_02;-50.5;-37.30249;-183.77903;9;51;6;;;;;;;;
5152-P_11;-30;-37.30249;-183.77903;9;51;6;;;;;;;;
HRIII_7154;-40;-37.30249;-183.77903;9;51;6;;;;;;;;
HRIII_7164;-40;-39.17541;-183.80464;10;51;6;;;;;;;;
HRIII_7478;-40;-39.17541;-183.80464;10;51;6;;;;;;;;
VAZAR643;-7.279759;6.610568;-28.785149;9;51;2;;;;;;;;
HRIII_7097;-40;-42.695693;-184.66143;9;53;6;;;;;;;;
VAZAR644;-7.279759;6.378502;-32.342129;9;52;2;;;;;;;;
4711-P_10;-40;-42.695693;-184.66143;9;53;6;;;;;;;;
HRIII_7132;-40;-42.695693;-184.66143;9;53;6;;;;;;;;
VAZAR645;-7.279759;6.026189;-35.026195;9;53;2;;;;;;;;
VAZAR646;-7.279759;5.189773;-40.574372;9;54;2;;;;;;;;
VAZAR647;-7.279759;2.956381;-46.107277;9;55;2;;;;;;;;
VAZAR648;-7.279759;1.667187;-49.817803;9;56;2;;;;;;;;
VAZAR649;-5.582977;0.427854;-54.761109;9;57;3;;;;;;;;
VAZAR716;-7.279759;6.810333;-30.698494;10;50;2;;;;;;;;
VAZAR717;-7.279759;6.522987;-29.76348;10;51;2;;;;;;;;
2896-P_04;-40;-40.770559;-184.08433;10;52;6;;;;;;;;
VAZAR718;-7.279759;6.285778;-31.656056;10;52;2;;;;;;;;
1389-P_99;-30;-40.695748;-185.91425;11;53;6;;;;;;;;
VAZAR719;-7.279759;5.974065;-35.239417;10;53;2;;;;;;;;
VAZAR720;-7.279759;4.600475;-40.154829;10;54;2;;;;;;;;
HRIII_7273;-10;1.605912;-51.319988;10;56;2;;;;;;;;
HRIII_7297;-40;-51.008535;-187.95597;10;55;6;;;;;;;;
VAZAR721;-7.279759;3.201848;-44.480973;10;55;2;;;;;;;;
HRIII_7208;-40;-56.455739;-190.43314;10;56;7;;;;;;;;
HRIII_7209;-40;-56.455739;-190.43314;10;56;7;;;;;;;;
HRIII_7210;-40;-61.538415;-192.28164;11;56;7;;;;;;;;
HRIII_7211;-40;-61.538415;-192.28164;11;56;7;;;;;;;;
HRIII_7212;-40;-61.538415;-192.28164;11;56;7;;;;;;;;
HRIII_7274;-40;-61.538415;-192.28164;11;56;7;;;;;;;;
VAZAR722;-7.279759;1.605912;-51.319988;10;56;2;;;;;;;;
VAZAR723;-3.678908;0.454912;-58.084871;10;57;3;;;;;;;;
VAZAR790;-7.275924;6.867313;-32.533588;11;50;2;;;;;;;;
VAZAR791;-7.279759;7.391925;-29.485705;11;51;2;;;;;;;;
HRIII_7175;-40;-38.587481;-184.75182;11;52;6;;;;;;;;
HRIII_7189;-10;7.747063;-28.55051;11;52;2;;;;;;;;
VAZAR792;-7.279759;7.747063;-28.55051;11;52;2;;;;;;;;
HRIII_7095;-40;-40.695748;-185.91425;11;53;6;;;;;;;;
VAZAR793;-7.279759;7.597926;-31.072407;11;53;2;;;;;;;;
HRIII_7258;-40;-45.290497;-187.37992;11;54;6;;;;;;;;
VAZAR794;-7.279759;6.071554;-36.858717;11;54;2;;;;;;;;
2768-P_03;-28.5;-53.920709;-190.06961;11;55;6;;;;;;;;
4091-P_07;-50;-53.920709;-190.06961;11;55;6;;;;;;;;
4092-P_07;-50;-53.920709;-190.06961;11;55;6;;;;;;;;
4093-P_07;-20;-53.920709;-190.06961;11;55;6;;;;;;;;
HRIII_7282;-40;-53.920709;-190.06961;11;55;6;;;;;;;;
HRIII_7288;-40;-53.920709;-190.06961;11;55;6;;;;;;;;
HRIII_7295;-40;-53.920709;-190.06961;11;55;6;;;;;;;;
VAZAR795;-7.279759;3.179404;-47.732115;11;55;2;;;;;;;;
3189-P_05;-11.25;-61.538415;-192.28164;11;56;7;;;;;;;;
VAZAR796;-6.655737;0.512277;-57.2667;11;56;3;;;;;;;;
VAZAR864;-7.279759;6.081239;-33.039;12;50;2;;;;;;;;
VAZAR865;-7.279759;6.555011;-31.359793;12;51;2;;;;;;;;
VAZAR866;-7.279759;7.891125;-29.909715;12;52;2;;;;;;;;
VAZAR867;-7.279759;8.110722;-33.177196;12;53;2;;;;;;;;
2766-P_03;-35.2;-50.906454;-188.63254;12;54;6;;;;;;;;
4380-P_08;-40;-58.58768;-190.83368;12;55;7;;;;;;;;
HRIII_7116;-40;-50.906454;-188.63254;12;54;6;;;;;;;;
HRIII_7260;-40;-58.58768;-190.83368;12;55;7;;;;;;;;
HRIII_7263;-40;-50.906454;-188.63254;12;54;6;;;;;;;;
VAZAR868;-7.279759;5.02888;-43.511052;12;54;2;;;;;;;;
2779-P_03;-15;-58.58768;-190.83368;12;55;7;;;;;;;;
2780-P_03;-20.75;-58.58768;-190.83368;12;55;7;;;;;;;;
3510-P_06;-6.3;-58.58768;-190.83368;12;55;7;;;;;;;;
4494-P_09;-30;-58.58768;-190.83368;12;55;7;;;;;;;;
HRIII_7291;-40;-58.58768;-190.83368;12;55;7;;;;;;;;
VAZAR869;-7.279759;2.549398;-53.136284;12;55;2;;;;;;;;
3418-P_05;-15;-66.323425;-193.63048;12;56;7;;;;;;;;
HRIII_7233;-40;-66.323425;-193.63048;12;56;7;;;;;;;;
VAZAR870;-7.279759;0.233932;-62.826968;12;56;6;;;;;;;;
VAZAR871;-1.125732;-1.129864;-68.472197;12;57;6;;;;;;;;
VAZAR938;-7.279759;6.580093;-33.011519;13;50;2;;;;;;;;
VAZAR939;-7.279759;7.209287;-34.386988;13;51;2;;;;;;;;
VAZAR940;-7.279759;7.878875;-37.386305;13;52;2;;;;;;;;
HRIII_7090;-40;-58.753152;-189.57998;13;54;6;;;;;;;;
VAZAR941;-7.279759;8.350398;-41.363678;13;53;2;;;;;;;;
2765-P_03;-43.2;-69.312788;-192.01522;13;55;7;;;;;;;;
HRIII_7098;-10;9.416713;-64.106002;14;54;6;;;;;;;;
HRIII_7122;-10;6.744311;-53.273547;13;54;2;;;;;;;;
HRIII_7123;-40;-58.753152;-189.57998;13;54;6;;;;;;;;
HRIII_7130;-40;-67.124751;-191.19305;14;54;7;;;;;;;;
HRIII_7218;-40;-69.312788;-192.01522;13;55;7;;;;;;;;
VAZAR942;-7.279759;6.744311;-53.273547;13;54;2;;;;;;;;
HRIII_7254;-40;-69.312788;-192.01522;13;55;7;;;;;;;;
HRIII_7255;-40;-69.312788;-192.01522;13;55;7;;;;;;;;
HRIII_7261;-40;-69.312788;-192.01522;13;55;7;;;;;;;;
HRIII_7290;-10;1.333373;-72.426967;13;56;6;;;;;;;;
VAZAR943;-7.279759;3.289827;-66.209019;13;55;6;;;;;;;;
3649-P_06;-26;-74.299066;-194.94307;13;56;7;;;;;;;;
VAZAR944;-7.279759;1.333373;-72.426967;13;56;6;;;;;;;;
VAZAR945;-3.213169;-1.051534;-74.251284;13;57;6;;;;;;;;
VAZAR1012;-7.279759;6.945401;-35.773098;14;50;2;;;;;;;;
VAZAR1013;-7.279759;7.214976;-35.116298;14;51;2;;;;;;;;
VAZAR1014;-7.279759;8.765084;-43.182647;14;52;2;;;;;;;;
VAZAR1015;-7.279759;9.513107;-51.904473;14;53;2;;;;;;;;
2775-P_03;-18;-67.124751;-191.19305;14;54;7;;;;;;;;
HRIII_7124;-40;-72.851242;-192.41657;14;55;7;;;;;;;;
HRIII_7141;-40;-72.851242;-192.41657;14;55;7;;;;;;;;
VAZAR1016;-7.279759;9.416713;-64.106002;14;54;6;;;;;;;;
216-P_98;-40;-72.851242;-192.41657;14;55;7;;;;;;;;
3081-P_04;-5;7.696311;-70.866364;14;55;6;;;;;;;;
HRIII_7118;-40;-72.851242;-192.41657;14;55;7;;;;;;;;
HRIII_7181;-40;-72.851242;-192.41657;14;55;7;;;;;;;;
HRIII_7251;-40;-72.851242;-192.41657;14;55;7;;;;;;;;
VAZAR1017;-7.279759;7.696311;-70.866364;14;55;6;;;;;;;;
VAZAR1018;-7.279759;2.510748;-75.200936;14;56;6;;;;;;;;
VAZAR1019;-5.23222;-1.28178;-75.282062;14;57;6;;;;;;;;
VAZAR1086;-7.279759;6.548533;-35.276938;15;50;2;;;;;;;;
VAZAR1087;-7.279759;7.534007;-38.223955;15;51;2;;;;;;;;
3959-P_07;-60;-52.570116;-191.79239;15;52;7;;;;;;;;
5316-P_12;-40;-52.570116;-191.79239;15;52;7;;;;;;;;
VAZAR1088;-7.279759;8.472068;-48.028066;15;52;2;;;;;;;;
VAZAR1089;-7.279759;8.480749;-56.923614;15;53;3;;;;;;;;
1580-P_00;-43;-66.979279;-196.35604;15;54;7;;;;;;;;
1832-P_00;-50;-66.979279;-196.35604;15;54;7;;;;;;;;
2353-P_02;-50;-66.979279;-196.35604;15;54;7;;;;;;;;
HRIII_7127;-40;-66.979279;-196.35604;15;54;7;;;;;;;;
HRIII_7133;-40;-73.694808;-198.17538;15;55;7;;;;;;;;
HRIII_7137;-40;-73.694808;-198.17538;15;55;7;;;;;;;;
VAZAR1090;-7.279759;6.619204;-64.477758;15;54;6;;;;;;;;
1318-P_99;-15;-73.694808;-198.17538;15;55;7;;;;;;;;
HRIII_7114;-40;-73.694808;-198.17538;15;55;7;;;;;;;;
HRIII_7252;-40;-76.282129;-199.12469;15;56;7;;;;;;;;
HRIII_7253;-40;-76.282129;-199.12469;15;56;7;;;;;;;;
HRIII_7270;-40;-73.694808;-198.17538;15;55;7;;;;;;;;
VAZAR1091;-7.279759;4.550699;-72.070649;15;55;6;;;;;;;;
2774-P_03;-20;-75.981969;-199.39035;16;56;7;;;;;;;;
HRIII_7294;-40;-76.282129;-199.12469;15;56;7;;;;;;;;
VAZAR1092;-7.20885;1.755126;-74.877999;15;56;6;;;;;;;;
VAZAR1093;-1.347862;-1.151786;-75.449869;15;57;6;;;;;;;;
VAZAR1160;-6.969209;6.921843;-34.391216;16;50;2;;;;;;;;
VAZAR1161;-7.279759;7.454626;-39.880281;16;51;2;;;;;;;;
VAZAR1162;-7.279759;7.837395;-47.353519;16;52;2;;;;;;;;
4493-P_09;-30;-61.065378;-198.67122;16;53;7;;;;;;;;
HRIII_7153;-40;-61.065378;-198.67122;16;53;7;;;;;;;;
HRIII_7179;-40;-61.065378;-198.67122;16;53;7;;;;;;;;
VAZAR1163;-7.279759;6.233206;-58.261649;16;53;3;;;;;;;;
2592-P_03;-27.5;-68.399593;-199.35435;16;54;7;;;;;;;;
3507-P_06;-1.7;-68.399593;-199.35435;16;54;7;;;;;;;;
710-P_99;-40;-73.18526;-199.37722;16;55;7;;;;;;;;
HRIII_7110;-40;-68.399593;-199.35435;16;54;7;;;;;;;;
VAZAR1164;-7.279759;5.370189;-66.554668;16;54;6;;;;;;;;
1926-P_01;-50;-73.18526;-199.37722;16;55;7;;;;;;;;
4840-P_10;-40;-73.18526;-199.37722;16;55;7;;;;;;;;
HRIII_7128;-40;-73.18526;-199.37722;16;55;7;;;;;;;;
HRIII_7136;-40;-73.18526;-199.37722;16;55;7;;;;;;;;
HRIII_7138;-40;-73.18526;-199.37722;16;55;7;;;;;;;;
HRIII_7264;-40;-75.981969;-199.39035;16;56;7;;;;;;;;
HRIII_7265;-10;2.960599;-71.715138;16;55;6;;;;;;;;
VAZAR1165;-7.279759;2.960599;-71.715138;16;55;6;;;;;;;;
2699-P_03;-12;-75.981969;-199.39035;16;56;7;;;;;;;;
VAZAR1166;-7.279759;0.260859;-74.575636;16;56;6;;;;;;;;
VAZAR1167;-1.902336;-1.0682;-75.452221;16;57;6;;;;;;;;
VAZAR1234;-0.490634;6.63057;-35.256464;17;50;2;;;;;;;;
VAZAR1235;-6.648051;7.439666;-36.770615;17;51;2;;;;;;;;
VAZAR1236;-7.279759;8.085631;-48.114498;17;52;2;;;;;;;;
4152-P_07;-40;-58.305422;-199.30586;17;53;7;;;;;;;;
VAZAR1237;-7.279759;8.452067;-55.859149;17;53;3;;;;;;;;
4451-P_09;-30;5.606237;-65.537768;17;54;6;;;;;;;;
VAZAR1238;-7.279759;5.606237;-65.537768;17;54;6;;;;;;;;
HRIII_7102;-10;2.457243;-70.79669;17;55;6;;;;;;;;
HRIII_7105;-40;-69.657552;-199.36021;18;55;7;;;;;;;;
VAZAR1239;-7.279759;2.457243;-70.79669;17;55;6;;;;;;;;
2794-P_03;-39;-73.768542;-199.3797;18;56;7;;;;;;;;
4270-P_08;-30;-73.768542;-199.3797;18;56;7;;;;;;;;
486-P_98;-30;-74.550891;-199.38351;17;56;7;;;;;;;;
HRIII_7249;-40;-74.550891;-199.38351;17;56;7;;;;;;;;
HRIII_7292;-40;-76.660189;-199.39345;17;57;7;;;;;;;;
HRIII_7293;-40;-76.660189;-199.39345;17;57;7;;;;;;;;
VAZAR1240;-7.279759;0.23491;-73.114317;17;56;6;;;;;;;;
VAZAR1241;-3.989769;-1.190941;-75.268855;17;57;6;;;;;;;;
VAZAR1308;-6.058563;6.320451;-34.3869;18;50;2;;;;;;;;
VAZAR1309;-7.279759;6.662101;-34.797904;18;51;2;;;;;;;;
HRIII_7487;-40;-42.658105;-199.23116;19;52;7;;;;;;;;
VAZAR1310;-7.279759;7.192879;-43.393495;18;52;2;;;;;;;;
HRIII_7437;-40;-56.585669;-199.29785;18;53;7;;;;;;;;
VAZAR1311;-7.279759;5.785939;-54.45158;18;53;3;;;;;;;;
637-P_99;-30;-64.009555;-199.33343;18;54;7;;;;;;;;
HRIII_7174;-40;-64.009555;-199.33343;18;54;7;;;;;;;;
HRIII_7183;-10;4.100179;-62.358089;18;54;6;;;;;;;;
VAZAR1312;-7.279759;4.100179;-62.358089;18;54;6;;;;;;;;
2795-P_03;-33;-69.657552;-199.36021;18;55;7;;;;;;;;
HRIII_7109;-40;-69.657552;-199.36021;18;55;7;;;;;;;;
HRIII_7113;-40;-68.371249;-199.35401;19;55;7;;;;;;;;
VAZAR1313;-7.279759;1.714909;-68.120553;18;55;6;;;;;;;;
2697-P_03;-30;-73.768542;-199.3797;18;56;7;;;;;;;;
VAZAR1314;-7.279759;-0.274254;-72.316213;18;56;6;;;;;;;;
VAZAR1315;-5.240898;-1.162837;-74.617294;18;57;6;;;;;;;;
VAZAR1382;-7.279759;6.276156;-33.701273;19;50;2;;;;;;;;
VAZAR1383;-7.279759;6.451982;-35.469232;19;51;2;;;;;;;;
VAZAR1384;-7.279759;7.039972;-39.539273;19;52;2;;;;;;;;
VAZAR1385;-7.279759;7.257471;-49.634399;19;53;2;;;;;;;;
354-P_98;-50;-68.371249;-199.35401;19;55;7;;;;;;;;
HRIII_7144;-40;-54.484494;-199.28791;20;54;7;;;;;;;;
HRIII_7148;-40;-54.484494;-199.28791;20;54;7;;;;;;;;
HRIII_7173;-40;-58.741847;-199.3082;19;54;7;;;;;;;;
VAZAR1386;-7.279759;5.236578;-58.724982;19;54;3;;;;;;;;
1833-P_00;-50;-65.2155;-199.33901;20;55;7;;;;;;;;
195-P_98;-30;-65.2155;-199.33901;20;55;7;;;;;;;;
2356-P_02;-24.5;-68.371249;-199.35401;19;55;7;;;;;;;;
3435-P_05;-13.5;-68.371249;-199.35401;19;55;7;;;;;;;;
HRIII_7094;-40;-68.371249;-199.35401;19;55;7;;;;;;;;
HRIII_7129;-40;-68.371249;-199.35401;19;55;7;;;;;;;;
VAZAR1387;-7.279759;1.654146;-66.806724;19;55;6;;;;;;;;
HRIII_7093;-40;-74.308586;-199.38232;20;56;7;;;;;;;;
HRIII_7099;-40;-74.308586;-199.38232;20;56;7;;;;;;;;
HRIII_7134;-40;-73.172724;-199.37687;19;56;7;;;;;;;;
VAZAR1388;-7.279759;0.164129;-71.703058;19;56;6;;;;;;;;
2019-P_01;-80;-76.711685;-199.39372;19;57;7;;;;;;;;
VAZAR1389;-5.092498;-1.224741;-75.31392;19;57;6;;;;;;;;
HRIII_7371;-40;-39.407585;-199.21592;20;50;7;;;;;;;;
HRIII_7396;-10;6.925142;-34.034385;20;50;2;;;;;;;;
VAZAR1456;-7.279759;6.925142;-34.034385;20;50;2;;;;;;;;
VAZAR1457;-7.279759;6.830208;-34.402276;20;51;2;;;;;;;;
VAZAR1458;-7.279759;7.01599;-41.989517;20;52;2;;;;;;;;
VAZAR1459;-7.279759;6.558665;-46.633579;20;53;2;;;;;;;;
629-P_99;-30;-65.2155;-199.33901;20;55;7;;;;;;;;
HRIII_7149;-40;-54.484494;-199.28791;20;54;7;;;;;;;;
HRIII_7155;-40;-54.484494;-199.28791;20;54;7;;;;;;;;
HRIII_7158;-40;-54.484494;-199.28791;20;54;7;;;;;;;;
HRIII_7159;-40;-54.484494;-199.28791;20;54;7;;;;;;;;
HRIII_7168;-40;-54.484494;-199.28791;20;54;7;;;;;;;;
HRIII_7180;-40;-54.484494;-199.28791;20;54;7;;;;;;;;
VAZAR1460;-7.279759;5.497645;-54.466262;20;54;3;;;;;;;;
2618-P_03;-30;-65.2155;-199.33901;20;55;7;;;;;;;;
VAZAR1461;-7.279759;2.731178;-63.583989;20;55;6;;;;;;;;
2048-P_01;-30;-74.308586;-199.38232;20;56;7;;;;;;;;
HRIII_7126;-40;-74.308586;-199.38232;20;56;7;;;;;;;;
VAZAR1462;-7.279759;-0.737008;-72.860161;20;56;6;;;;;;;;
VAZAR1463;-3.764076;-1.351907;-75.540897;20;57;6;;;;;;;;
